"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J3","CONN-TH_XT30PW-M","21.717mm","41.275mm","21.717mm","41.275mm","24.217mm","36.275mm","T","180","XT30PW-M30.G.Y"
"C29","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD","6.223mm","13.716mm","6.223mm","13.716mm","8.893mm","13.716mm","T","180","100uF"
"C6","C0402","29.82mm","32.08mm","29.808mm","32.09mm","30.353mm","32.09mm","B","180","CAP-0402"
"X1","CRYSTAL-SMD_4P-L3.2-W2.5-BL","24.13mm","24.943mm","24.153mm","24.931mm","23.303mm","26.031mm","T","270","OSC CRYSTAL-SMD_4P-L3.2-W2.5-BL"
"UART1","USB-C-SMD_G-SWITCH_GT-USB-7010EN","60.325mm","44.145mm","60.325mm","44.155mm","64.645mm","42.352mm","T","180","HC-TYPE-C-16P-01A-R"
"U5","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","13.843mm","14.859mm","13.843mm","14.859mm","15.748mm","17.541mm","T","180","MC34063"
"U4","SSOP-24_L8.4-W5.8-P0.65-LS7.8-BL","33.274mm","7.468mm","33.274mm","7.452mm","29.699mm","3.961mm","T","360","TB6612FNG"
"U3","SOT-89","58.649mm","15.596mm","60.381mm","15.65mm","60.396mm","14.08mm","T","90","CJA1117B-3.3"
"U2","TQFN-16_L3.0-W3.0-P0.50-BL-EP1.7","55.016mm","23.724mm","55.02mm","23.737mm","53.57mm","24.486mm","T","270","CH343P"
"U1","LQFP-100_L14.0-W14.0-P0.50-LS16.0-BL","35.154mm","24.587mm","35.16mm","24.578mm","27.61mm","30.578mm","T","270","STM32F407VET6"
"SW3","SW-TH_3P-SS12D06-1","36.068mm","38.735mm","36.068mm","38.735mm","40.868mm","38.735mm","T","180","Switch-Íä²å»¬¶¯¿ª¹Ø"
"BOOT","KEY-SMD_2P-L6.0-W3.6-P7.4-LS8.0-L","21.336mm","18.034mm","21.336mm","18.034mm","17.636mm","18.034mm","T","360","Switch"
"RESET","KEY-SMD_2P-L6.0-W3.6-P7.4-LS8.0-L","21.336mm","32.512mm","21.336mm","32.512mm","25.036mm","32.512mm","T","180","Switch"
"R13","R0402","11.938mm","9.855mm","11.938mm","9.854mm","11.938mm","10.287mm","T","270","RES-0402"
"R12","R0402","13.462mm","9.83mm","13.462mm","9.831mm","13.462mm","9.398mm","T","90","RES-0402"
"R11","R0402","18.085mm","13.208mm","18.086mm","13.208mm","17.653mm","13.208mm","T","360","RES-0402"
"R10","R0402","18.11mm","14.732mm","18.109mm","14.732mm","17.676mm","14.732mm","T","360","RES-0402"
"R9","R0402","62.281mm","44.399mm","62.283mm","44.409mm","61.85mm","44.409mm","B","360","RES-0402"
"R8","R0402","58.115mm","44.399mm","58.114mm","44.409mm","58.547mm","44.409mm","B","180","RES-0402"
"R7","F1206","60.452mm","27.762mm","60.452mm","27.765mm","60.452mm","29.21mm","T","270","TLC F1206"
"R6","R0402","7.544mm","42.926mm","7.549mm","42.938mm","7.549mm","43.371mm","T","270","RES-0402"
"R5","R0402","10.084mm","42.926mm","10.089mm","42.938mm","10.089mm","43.371mm","T","270","RES-0402"
